Date_Pointage;Destination;Objectif;NOMBRE DE BUS;Observation;Action;Shift_Prevu_Nom;Heure_Pointage_Reel;Heure_Cible_Texte
2024-08-19;JARZOUNA (BEN HAMED);20 minutes Avant l’heure;1.0;ben hamed+cité+GT +ML Jemil ext;;L'horaire 22h;21:53:00;22:00
2024-08-19;ML ABDERAHMEN+ML JEMIL;15 minutes Avant l’heure;1.0;ml abderahmen+ml jemil;;L'horaire 22h;21:55:00;22:00
2024-08-19;ML BOURG (TRANSFAL);15 minutes Avant l’heure;1.0;;;L'horaire 22h;21:51:00;22:00
2024-08-19;ML BOURG (CNSS);15 minutes Avant l’heure;1.0;;;L'horaire 22h;21:57:00;22:00
2024-08-19;MATEUR (JALTA);15 minutes Avant l’heure;1.0;;;L'horaire 22h;21:48:00;22:00
2024-08-19;BNI NAFAA;20 minutes Avant l’heure;1.0;;;L'horaire 22h;22:06:00;22:00
2024-08-19;JARZOUNA (BEN HAMED);20 minutes Avant l’heure;1.0;ben hamed+cité+GT +ML Jemil ext;;L'horaire 06 h;06:04:00;06:00
2024-08-19;BLAT;20 minutes Avant l’heure;1.0;;;L'horaire 06 h;05:40:00;06:00
2024-08-19;BNI TOUN;20 minutes Avant l’heure;1.0;teskraya+bni toun;;L'horaire 06 h;06:03:00;06:00
2024-08-19;ML ABDERAHMEN+ML JEMIL;15 minutes Avant l’heure;1.0;ml abderahmen+ml jemil;;L'horaire 06 h;05:53:00;06:00
2024-08-19;ML BOURG (TRANSFAL);15 minutes Avant l’heure;1.0;;;L'horaire 06 h;05:48:00;06:00
2024-08-19;ML BOURG (OM HANI);15 minutes Avant l’heure;1.0;;;L'horaire 06 h;05:50:00;06:00
2024-08-19;ML BOURG (CNSS);15 minutes Avant l’heure;1.0;;;L'horaire 06 h;05:46:00;06:00
2024-08-19;JARZOUNA (CITÉ);15 minutes Avant l’heure;1.0;;;L'horaire 06 h;05:42:00;06:00
2024-08-19;ML BOURG (CITÉ ENAJEH);15 minutes Avant l’heure;1.0;cité enajeh +jabana;;L'horaire 06 h;05:50:00;06:00
2024-08-19;MATEUR (JALTA);15 minutes Avant l’heure;1.0;;;L'horaire 06 h;05:40:00;06:00
